hike_name,difficulty,distance,elevation_gain,latitiude,longitute,drive_time
Klickitat Trail: Klickitat Mineral Springs Hike,Easy,5.2 miles,50 feet,Latitude: 45.82330,Longitude: -121.09857,100 minutes
La Center Loop Hike,Easy,4.2 miles,310 feet,Latitude: 45.8621,Longitude: -122.6718,30 minutes
Labyrinth Hike,Easy,3.6 miles,915 feet,Latitude: 45.70519,Longitude: -121.38324,80 minutes
Lacamas Heritage Trail Hike,Easy,7 miles,30 feet,Latitude: 45.60490,Longitude: -122.41157,35 minutes
Lake Marie Loop Hike,Easy,1.7 miles,,Latitude: 43.66093,Longitude: -124.19789,
Lake Sacajawea Loop Hike,Easy,3.6 miles,35 feet,Latitude: 46.12755,Longitude: -122.94369,45 minutes
Langfield Falls Hike,Easy,0.5 miles,80 feet,Latitude: 46.0990,Longitude: -121.7201,115 minutes
Latourell Falls Loop Hike,Easy,2.4 miles,625 feet,Latitude: 45.53880,Longitude: -122.21757,40 minutes
Laurel Hill Chute Loop Hike,Easy,0.6 miles,230 feet,Latitude: 45.31121,Longitude: -121.80145,70 minutes
Lava Canyon Loop Hike,Moderate,1.1 miles,500 feet,Latitude: 46.16569,Longitude: -122.08804,1.75 hours
Lava Cast Forest Loop Hike,Easy,1 miles,60 feet,Latitude: 43.81735,Longitude: -121.28862,
Leadbetter Point Loop Hike,Moderate,7.7 miles,130 feet,Latitude: 46.58862,Longitude: -124.03013,165 minutes
Lemolo Falls via North Umpqua Trail Hike,Easy,3.5 miles,450 feet,Latitude: 43.3292,Longitude: -122.2028,
Lewis and Clark Park Hike,Easy,3 miles,100 feet,Latitude: 45.54151,Longitude: -122.37992,25 minutes
Lewis and Clark State Park Loop Hike,Easy,4.8 miles,340 feet,Latitude: 46.5224,Longitude: -122.8134,85 minutes
Lewisburg Saddle Old Growth Hike,Easy,2 miles,240 feet,Latitude: 44.63676,Longitude: -123.29578,105 minutes
Lewisville Park Loop Hike,Easy,2.8 miles,140 feet,Latitude: 45.8126,Longitude: -122.5469,35 minutes
Liahona Loop Hike,Easy,3.6 miles,730 feet,Latitude: 45.92732,Longitude: -123.04884,85 minutes
Link River Hike,Easy,3.4 miles,85 feet,Latitude: 42.2192,Longitude: -121.7919,
Linton Lake Hike,Easy,3 miles,250 feet,Latitude: 44.17663,Longitude: -121.91400,2.75 hours
Lithia Park Loop Hike,Easy,3.1 miles,345 feet,Latitude: 42.19717,Longitude: -122.71498,
Little Beacon Rock Loop Hike,Easy,1.6 miles,375 feet,Latitude: 45.63279,Longitude: -122.01973,1 hour
Little Cowhorn Mountain Hike,Moderate,2 miles,500 feet,Latitude: 44.03735,Longitude: -122.51310,3 hours
Little Crater Lake Hike,Easy,1.4 miles,10 feet,Latitude: 45.1478,Longitude: -121.7478,95 minutes
Little Zigzag Falls Hike,Easy,0.8 miles,180 feet,Latitude: 45.31400,Longitude: -121.79596,65 minutes
Lost Creek Loop Hike,Easy,0.6 miles,10 feet,Latitude: 45.3813,Longitude: -121.8367,80 minutes
Lost Lake Loop Hike,Easy,3.2 miles,60 feet,Latitude: 45.49585,Longitude: -121.82248,2 hours
Lost Lake Old Growth Loop Hike,Easy,2.2 miles,120 feet,Latitude: 45.49585,Longitude: -121.82248,2 hours
Lowami Hart Woods Loop Hike,Easy,1.1 miles,140 feet,Latitude: 45.4658,Longitude: -122.8307,20 minutes
Lower Beaver Creek Canyon Hike,Easy,4.8 miles,325 feet,Latitude: 45.5375,Longitude: -122.3785,25 minutes
Lower Berley Lake Hike,Easy,7.6 miles,763 feet,Latitude: 44.42568,Longitude: -121.84988,2.5 hours
Lower Marble Creek Falls Hike,Easy,1.2 miles,70 feet,Latitude: 45.9568,Longitude: -122.5616,45 minutes
Lower berley lake,Easy,7.6 miles,763 feet,Latitude: 44.42568,Longitude: -121.84988,2.5 hours
Luckiamute Landing Hike,Easy,4 miles,50 feet,Latitude: 44.73205,Longitude: -123.15249,85 minutes
Luckiamute Wetland Hike,Easy,1.1 miles,45 feet,Latitude: 44.71572,Longitude: -123.16297,80 minutes
Luscher Farm-Cooks Butte Loop Hike,Easy,5.7 miles,385 feet,Latitude: 45.39622,Longitude: -122.68729,20 minutes
Magness Tree Farm Loop Hike,Easy,4.5 miles,775 feet,Latitude: 45.2950,Longitude: -122.8526,35 minutes
Maple Ridge Loop Hike,Easy,2.6 miles,370 feet,Latitude: 44.87752,Longitude: -122.65513,80 minutes
Maricara Loop Hike,Easy,0.6 miles,110 feet,Latitude: 45.44911,Longitude: -122.70762,10 minutes
Marshall Park Hike,Easy,3.1 miles,585 feet,Latitude: 45.45526,Longitude: -122.69285,15 minutes
Martin Luther King Park Loop Hike,Easy,2.2 miles,230 feet,Latitude: 44.5906,Longitude: -123.3080,90 minutes
Mary S. Young State Park Loop Hike,Easy,3.7 miles,300 feet,Latitude: 45.38053,Longitude: -122.62804,20 minutes
Marys Peak Meadow Edge Hike,Easy,1.8 miles,450 feet,Latitude: 44.50912,Longitude: -123.55991,2 hours
Marys Peak Summit Hike,Easy,1.5 miles,400 feet,Latitude: 44.51055,Longitude: -123.55068,2 hours
McDowell Creek Falls Loop Hike,Easy,1.8 miles,230 feet,Latitude: 44.4643,Longitude: -122.6827,105 minutes
McLoughlin Promenade Hike,Easy,2.3 miles,275 feet,Latitude: 45.35709,Longitude: -122.60811,25 minutes
McVay Beach Hike,Easy,3.1 miles,,Latitude: 42.0199,Longitude: -124.2359,
Memorial Park to Boones Ferry Landing Hike,Easy,4.1 miles,180 feet,Latitude: 45.3010,Longitude: -122.7594,30 minutes
Merrill Lake Loop Hike,Easy,0.9 miles,145 feet,Latitude: 46.0938,Longitude: -122.3194,75 minutes
Middle Lewis River Falls Loop Hike,Easy,1.1 miles,190 feet,Latitude: 46.16622,Longitude: -121.86705,2.25 hours
Mike Miller Park Loop Hike,Easy,1.2 miles,115 feet,Latitude: 44.60180,Longitude: -124.05204,140 minutes
Mill Creek Greenway Hike,Easy,3.4 miles,45 feet,Latitude: 45.1316,Longitude: -122.8557,40 minutes
Mill Hill Loop Hike,Easy,2.8 miles,110 feet,Latitude: 44.41007,Longitude: -123.33502,115 minutes
Millersylvania Loop Hike,Easy,3.9 miles,180 feet,Latitude: 46.9097,Longitude: -122.9069,95 minutes
Milwaukie Old Town Loop Hike,Easy,2.7 miles,70 feet,Latitude: 45.4424,Longitude: -122.6428,15 minutes
Mima Mounds Loop Hike,Easy,3.2 miles,30 feet,Latitude: 46.9054,Longitude: -123.0475,105 minutes
Minto-Brown Island Loop Hike,Easy,9.3 miles,45 feet,Latitude: 44.92167,Longitude: -123.05875,55 minutes
Minto-Brown Island loop Hike,Easy,9.3 miles,45 feet,Latitude: 44.92167,Longitude: -123.05875,55 minutes
Mirror Lake Hike,Easy,4.4 miles,640 feet,Latitude: 45.30277,Longitude: -121.77728,75 minutes
Molalla River State Park Hike,Easy,2.5 miles,95 feet,Latitude: 45.2954,Longitude: -122.7017,
Moon Falls Hike,Easy,1.1 miles,250 feet,Latitude: 43.734546,Longitude: -122.620661,3.2 hours
Morgan Lake Loop Hike,Easy,2.5 miles,40 feet,Latitude: 44.98335,Longitude: -123.26408,60 minutes
Mosier Plateau Hike,Easy,3.5 miles,760 feet,Latitude: 45.6841,Longitude: -121.3972,1 hour
Mosier plateau hike,Easy,3.5 miles,760 feet,Latitude: 45.6841,Longitude: -121.3972,1 hour
Moulton Falls Hike,Easy,5.9 miles,260 feet,Latitude: 45.8376,Longitude: -122.4344,50 minutes
Mount Baldy Loop Hike,Easy,3.5 miles,510 feet,Latitude: 43.9867,Longitude: -123.0647,
Mount Defiance from Wahtum Lake Road Hike,Easy,3.2 miles,"1,145 feet",Latitude: 45.63621,Longitude: -121.74248,100 minutes
Mount June and Sawtooth Rock Hike,Easy,5 miles,"1,500 feet",Latitude: 43.7918,Longitude: -122.7314,3 hours
Mount Lowe Hike,Easy,3 miles,665 feet,Latitude: 44.97247,Longitude: -121.97665,2 hours
Mount Pisgah Arboretum Loop Hike,Easy,1.9 miles,350 feet,Latitude: 44.0077,Longitude: -122.9815,
Mount Scott Creek Hike,Easy,2.3 miles,160 feet,Latitude: 45.43539,Longitude: -122.54309,25 minutes
Mount Scott Loop Hike,Easy,3.1 miles,530 feet,Latitude: 45.44737,Longitude: -122.53789,30 minutes
Mount Sylvania Loop Hike,Easy,4.6 miles,775 feet,Latitude: 45.4364,Longitude: -122.7198,15 minutes
Mount Tabor Hike,Easy,2 miles,350 feet,Latitude: 45.50894,Longitude: -122.59748,15 minutes
Mount Talbert Perimeter Loop Hike,Moderate,2.3 miles,595 feet,Latitude: 45.43151,Longitude: -122.54440,25 minutes
Mount Talbert Summit Loop Hike,Easy,3.1 miles,685 feet,Latitude: 45.42044,Longitude: -122.55272,25 minutes
Mount Williams Loop Hike,Easy,3.3 miles,390 feet,Latitude: 45.46617,Longitude: -122.84159,25 minutes
Munson Creek Falls Hike,Easy,0.6 miles,95 feet,Latitude: 45.36564,Longitude: -123.77353,95 minutes
Murtha Ranch Loop Hike,Easy,1.9 miles,100 feet,Latitude: 45.4807,Longitude: -120.4640,
Nasty Rock Hike,Easy,2.7 miles,580 feet,Latitude: 44.9050,Longitude: -122.2539,2 hours
Natural Arch Hike,Easy,1 miles,460 feet,Latitude: 44.76794,Longitude: -122.27606,100 minutes
Natural Bridges Hike,Easy,1.8 miles,80 feet,Latitude: 45.9611,Longitude: -121.6576,
Neahkahnie Mountain from South Hike,Easy,3 miles,840 feet,Latitude: 45.74081,Longitude: -123.93458,110 minutes
Nehalem Falls Loop Hike,Easy,0.9 miles,70 feet,Latitude: 45.72649,Longitude: -123.77129,110 minutes
Nehalem Spit Loop Hike,Easy,5.2 miles,25 feet,Latitude: 45.68876,Longitude: -123.93690,110 minutes
Nellie Corser Loop Hike,Easy,0.8 miles,275 feet,Latitude: 45.6378,Longitude: -122.0826,55 minutes
Nelscott Beach Hike,Moderate,7.8 miles,30 feet,Latitude: 44.9673,Longitude: -124.0175,105 minutes
Nestucca Bay Refuge Hike,Easy,3.8 miles,380 feet,Latitude: 45.16652,Longitude: -123.95305,125 minutes
Netul River Hike,Easy,2.4 miles,45 feet,Latitude: 46.13402,Longitude: -123.88054,2 hours
New River Loop Hike,Easy,2.7 miles,,Latitude: 42.99606,Longitude: -124.45002,
Newport Bayfront Hike,Easy,2.6 miles,140 feet,Latitude: 44.6319,Longitude: -124.0490,155 minutes
Niagara Falls Hike,Easy,2 miles,455 feet,Latitude: 45.2142,Longitude: -123.6277,2 hours
Niagara Park Loop Hike,Easy,1 miles,105 feet,Latitude: 44.7568,Longitude: -122.3337,85 minutes
Nick Eaton Falls Hike,Easy,4.2 miles,970 feet,Latitude: 45.68280,Longitude: -121.84249,1 hour
Nisqually Wildlife Refuge Hike,Easy,4.1 miles,0 feet,Latitude: 47.0727,Longitude: -122.7137,2 hours
Noble Woods Loop Hike,Easy,1.2 miles,65 feet,Latitude: 45.51967,Longitude: -122.91855,30 minutes
North Santiam Loop Hike,Easy,2.4 miles,140 feet,Latitude: 44.7709,Longitude: -122.5645,70 minutes
Northrup Creek Big Tree Loop Hike,Easy,0.9 miles,35 feet,Latitude: 46.0232,Longitude: -123.4545,90 minutes
Oak Island Loop Hike,Easy,2.8 miles,10 feet,Latitude: 45.71399,Longitude: -122.82080,30 minutes
Oaks Bottom Loop Hike,Easy,3.8 miles,125 feet,Latitude: 45.46949,Longitude: -122.65931,10 minutes
Oaks bottom Loop Hike,Easy,2.3 miles,125 feet,Latitude: 45.46949,Longitude: -122.65931,10 minutes
Oaks to Wetlands Loop Hike,Easy,1.7 miles,80 feet,Latitude: 45.83128,Longitude: -122.74806,45 minutes
Oceanside to Netarts Hike,Easy,6.4 miles,20 feet,Latitude: 45.46109,Longitude: -123.97021,95 minutes
Old Salmon River Hike,Easy,5 miles,200 feet,Latitude: 45.30858,Longitude: -121.94317,1 hour
Old Skyline Trail Loop Hike,Easy,4.1 miles,270 feet,Latitude: 45.50070,Longitude: -121.81622,2 hours
Oregon Dunes Loop Hike,Easy,4.8 miles,,Latitude: 43.83326,Longitude: -124.15187,
Oregon Redwoods Loop Hike,Easy,1.9 miles,305 feet,Latitude: 42.00845,Longitude: -124.14711,
Orenco Woods-Rock Creek Hike,Easy,6.4 miles,195 feet,Latitude: 45.5281,Longitude: -122.9062,30 minutes
Our Lady of Guadalupe Loop Hike,Easy,3.6 miles,815 feet,Latitude: 45.2814,Longitude: -123.0903,1 hour
Painted Cove Loop Hike,Easy,0.2 miles,40 feet,Latitude: 44.66069,Longitude: -120.27815,4 hours
Painted Hills Overlook Hike,Easy,1 miles,140 feet,Latitude: 44.65211,Longitude: -120.28017,4 hours
Palisade Point via Fret Creek Hike,Moderate,4.8 miles,"1,325 feet",Latitude: 45.349711,Longitude: -121.472139,115 minutes
Palomino Loop Hike,Easy,1.9 miles,495 feet,Latitude: 45.37673,Longitude: -122.64419,25 minutes
Panther Creek Falls Hike,Easy,1 miles,200 feet,Latitude: 45.8674,Longitude: -121.8264,75 minutes
Paradise Point Loop Hike,Easy,1.8 miles,240 feet,Latitude: 45.87243,Longitude: -122.71004,30 minutes
Parker Falls Hike,Easy,1.8 miles,420 feet,Latitude: 43.6372,Longitude: -122.6172,3 hours
Pathfinder Genesis Loop Hike,Easy,3.5 miles,185 feet,Latitude: 45.43355,Longitude: -122.78277,20 minutes
Peavy Arboretum Loop Hike,Easy,3.2 miles,190 feet,Latitude: 44.6567,Longitude: -123.2323,85 minutes
Pepper Mountain Hike,Easy,2.6 miles,700 feet,Latitude: 45.53120,Longitude: -122.18197,40 minutes
Pier Park Loop Hike,Easy,1.9 miles,95 feet,Latitude: 45.6034,Longitude: -122.7582,20 minutes
Pinard Falls Hike,Easy,1.2 miles,230 feet,Latitude: 43.713239,Longitude: -122.619696,3.2 hours
Pinard falls hike,Easy,1.2 miles,230 feet,Latitude: 43.713239,Longitude: -122.619696,3.2 hours
Pine Creek Hike,Easy,0.8 miles,90 feet,Latitude: 46.15473,Longitude: -122.10282,100 minutes
Pioneer Woman's Grave Hike,Easy,2.2 miles,465 feet,Latitude: 45.28249,Longitude: -121.68552,80 minutes
Plaza Lake Hike,Easy,1.4 miles,560 feet,Latitude: 45.226877,Longitude: -121.997466,105 minutes
Ponytail Falls Hike,Easy,0.8 miles,320 feet,Latitude: 45.59044,Longitude: -122.06857,45 minutes
Pool of the Winds Hike,Easy,2.2 miles,700 feet,Latitude: 45.63279,Longitude: -122.01973,1 hour
Port Orford Heads Loop Hike,Easy,1.2 miles,,Latitude: 42.7393,Longitude: -124.5107,
Portland Street Art Loop Hike,Easy,3.5 miles,110 feet,Latitude: 45.5162,Longitude: -122.6658,5 minutes
Powell Butte Loop Hike,Easy,4.5 miles,530 feet,Latitude: 45.4910,Longitude: -122.4972,30 minutes
Powell Butte Summit Loop Hike,Easy,2.9 miles,220 feet,Latitude: 45.4910,Longitude: -122.4972,30 minutes
Powell Butte-Johnson Creek Loop Hike,Easy,3.6 miles,480 feet,Latitude: 45.4910,Longitude: -122.4972,30 minutes
Powell butte Loop Hike,Easy,4.5 miles,530 feet,Latitude: 45.4910,Longitude: -122.4972,30 minutes
Punchbowl Falls Park Hike,Easy,1.5 miles,190 feet,Latitude: 45.6004,Longitude: -121.6347,80 minutes
Pyramid Lake Hike,Easy,2.4 miles,340 feet,Latitude: 45.1511,Longitude: -121.9134,110 minutes
Rail Trail Loop Hike,Easy,3.9 miles,10 feet,Latitude: 44.77206,Longitude: -123.07775,65 minutes
Rainy Lake Loop Hike,Easy,3.2 miles,755 feet,Latitude: 45.62610,Longitude: -121.75882,105 minutes
Ramona falls hike,Easy,7 miles,"1,100 feet",Latitude: 45.38696,Longitude: -121.83221,
Rattlesnake Falls Hike,Easy,2.5 miles,525 feet,Latitude: 45.88617,Longitude: -121.34228,105 minutes
Ray Atkeson Loop Hike,Easy,2.6 miles,165 feet,Latitude: 44.01306,Longitude: -121.73661,
Riddle Ranch Hike,Easy,5.8 miles,385 feet,Latitude: 42.66187,Longitude: -118.75328,
Rimrock Springs Loop Hike,Easy,1.4 miles,130 feet,Latitude: 44.4962,Longitude: -121.0559,
River View Loop Hike,Easy,2 miles,430 feet,Latitude: 45.45558,Longitude: -122.67535,15 minutes
Roads End Hike,Easy,2.6 miles,15 feet,Latitude: 45.00789,Longitude: -124.00877,100 minutes
Rock Creek Wilderness Hike,Moderate,1.2 miles,100 feet,Latitude: 44.18564,Longitude: -124.11053,170 minutes
Rocky Butte Hike,Easy,3.2 miles,480 feet,Latitude: 45.55325,Longitude: -122.57468,15 minutes
Rocky Top Hike,Easy,1 miles,705 feet,Latitude: 44.78741,Longitude: -122.28282,110 minutes
Rogue River Greenway Hike,Easy,7.1 miles,25 feet,Latitude: 42.4116,Longitude: -123.1286,
Rood Bridge Loop Hike,Easy,2.6 miles,80 feet,Latitude: 45.49117,Longitude: -122.95167,30 minutes
Rooster Rock Loop Hike,Easy,2.7 miles,240 feet,Latitude: 45.54731,Longitude: -122.23410,30 minutes
Rooster Rock Wagon Road Hike,Easy,4.8 miles,910 feet,Latitude: 45.5345,Longitude: -122.2607,30 minutes
Rough and Ready Flat Hike,Easy,0.6 miles,20 feet,Latitude: 42.09529,Longitude: -123.68300,
Round Lake Hike,Easy,1.4 miles,120 feet,Latitude: 44.87628,Longitude: -121.97607,140 minutes
Round Lake Loop Hike,Easy,1.4 miles,140 feet,Latitude: 45.60363,Longitude: -122.40692,40 minutes
Rowena Plateau Hike,Easy,2.2 miles,240 feet,Latitude: 45.68279,Longitude: -121.30050,80 minutes
Salem Riverfront Hike,Easy,4.1 miles,45 feet,Latitude: 44.94034,Longitude: -123.04306,50 minutes
Salish Ponds Hike,Easy,2.8 miles,30 feet,Latitude: 45.52937,Longitude: -122.45175,20 minutes
Salmon-Morgan Creeks Loop Hike,Easy,1.5 miles,60 feet,Latitude: 45.75562,Longitude: -122.51116,
Salt Creek Falls Hike,Easy,1 miles,335 feet,Latitude: 43.61196,Longitude: -122.12781,
Salt creek Falls Hike,Easy,1 miles,335 feet,Latitude: 43.61196,Longitude: -122.12781,
Sams Walker Loop Hike,Easy,1.1 miles,15 feet,Latitude: 45.6118,Longitude: -122.0520,50 minutes
Sandy River Delta Loop Hike,Easy,4.4 miles,40 feet,Latitude: 45.5463,Longitude: -122.3740,30 minutes
Sandy River-Jim Slagle Loop Hike,Easy,2.1 miles,485 feet,Latitude: 45.4016,Longitude: -122.2697,45 minutes
Santiam Wagon Road Hike,Easy,5 miles,300 feet,Latitude: 44.4048,Longitude: -122.2783,2.5 hours
Scouters Mountain Loop Hike,Easy,1.3 miles,210 feet,Latitude: 45.4470,Longitude: -122.5081,25 minutes
Seaside Promenade Loop Hike,Easy,6.2 miles,20 feet,Latitude: 45.9941,Longitude: -123.9268,90 minutes
Seminary Hill Loop Hike,Easy,1.4 miles,360 feet,Latitude: 46.7136,Longitude: -122.9478,95 minutes
Sexton Mountain-Hyland Woods Loop Hike,Easy,3.8 miles,425 feet,Latitude: 45.46016,Longitude: -122.82746,20 minutes
Shadow Ridge-Sunrise Heights Loop Hike,Easy,3.1 miles,470 feet,Latitude: 45.4344,Longitude: -122.5103,35 minutes
She Who Watches Hike,Easy,0.6 miles,45 feet,Latitude: 45.64082,Longitude: -121.10461,85 minutes
Sheepshead Rock Hike,Easy,3.2 miles,840 feet,Latitude: 45.23159,Longitude: -122.00897,100 minutes
Shellburg Falls Hike,Easy,2.8 miles,410 feet,Latitude: 44.80552,Longitude: -122.62736,60 minutes
Shellrock and Hideaway Lakes Hike,Easy,3.8 miles,280 feet,Latitude: 45.1271,Longitude: -121.9705,105 minutes
Shepperds Dell Hike,Easy,0.2 miles,45 feet,Latitude: 45.54693,Longitude: -122.19759,35 minutes
Sherrard Point Hike,Easy,0.6 miles,170 feet,Latitude: 45.52937,Longitude: -122.08843,50 minutes
Shevlin Park Loop Hike,Easy,4.9 miles,370 feet,Latitude: 44.0819,Longitude: -121.3787,
Shore Acres Loop Hike,Easy,4.7 miles,230 feet,Latitude: 43.3312,Longitude: -124.3736,
Short Beach Hike,Easy,1.4 miles,95 feet,Latitude: 45.47282,Longitude: -123.96873,100 minutes
Shotgun Creek Loop Hike,Easy,4.6 miles,800 feet,Latitude: 44.2287,Longitude: -122.8466,2 hours
Silent Creek Hike,Easy,2 miles,85 feet,Latitude: 43.12695,Longitude: -122.16151,
Siltcoos River Hike,Easy,5.7 miles,,Latitude: 43.8776,Longitude: -124.1454,
Silver Lake-Seaquest Loop Hike,Easy,4.5 miles,530 feet,Latitude: 46.2954,Longitude: -122.8223,65 minutes
Simpson Reed Grove Loop Hike,Easy,1 miles,70 feet,Latitude: 41.81188,Longitude: -124.10849,
Sister Rocks Hike,Easy,3.9 miles,750 feet,Latitude: 45.94992,Longitude: -122.03973,100 minutes
Sisters Rocks Hike,Easy,1.6 miles,,Latitude: 42.5925,Longitude: -124.3972,
Sitka Sedge Loop Hike,Easy,3.9 miles,80 feet,Latitude: 45.2629,Longitude: -123.9545,110 minutes
Skamania Lodge Loop Hike,Easy,3.3 miles,310 feet,Latitude: 45.6864,Longitude: -121.9066,50 minutes
Skinner Butte Loop Hike,Easy,3.1 miles,270 feet,Latitude: 44.0562,Longitude: -123.0896,
Skipanon River Loop Hike,Easy,7.3 miles,20 feet,Latitude: 46.1661,Longitude: -123.9240,110 minutes
Smith Homestead Hike,Easy,0.8 miles,20 feet,Latitude: 45.5874,Longitude: -123.5521,1 hour
Smith and Bybee Lakes Hike,Easy,2.1 miles,10 feet,Latitude: 45.61665,Longitude: -122.71880,10 minutes
Snag Boat Bend Loop Hike,Easy,3.2 miles,40 feet,Latitude: 44.42605,Longitude: -123.20528,85 minutes
Soapstone Lake Loop Hike,Easy,3.2 miles,305 feet,Latitude: 45.84684,Longitude: -123.76236,75 minutes
Sophie Mozee Homestead Hike,Easy,1 miles,155 feet,Latitude: 45.6991,Longitude: -122.9093,75 minutes
South Breitenbush Gorge Hike,Easy,6.2 miles,740 feet,Latitude: 44.78196,Longitude: -121.96764,115 minutes
South Canyon Reach Loop Hike,Easy,4.3 miles,190 feet,Latitude: 44.0427,Longitude: -121.3201,
South Clatsop Slough Loop Hike,Easy,3.2 miles,270 feet,Latitude: 46.13402,Longitude: -123.88054,2 hours
South Slough Loop Hike,Easy,3.8 miles,370 feet,Latitude: 43.29591,Longitude: -124.33510,
South Waldo Shelter Hike,Easy,3.3 miles,35 feet,Latitude: 43.6917,Longitude: -122.0440,
Spearfish Lake Loop Hike,Easy,2.2 miles,45 feet,Latitude: 45.6253,Longitude: -121.1276,85 minutes
Speed Trail Hike,Moderate,2 miles,680 feet,Latitude: 46.10202,Longitude: -121.90659,105 minutes
Spencer Butte Loop Hike,Easy,1.7 miles,755 feet,Latitude: 43.9805,Longitude: -123.1019,
Spencer Creek Loop Hike,Easy,1.7 miles,30 feet,Latitude: 44.72841,Longitude: -124.05691,130 minutes
Spirit Falls Hike,Easy,0.6 miles,130 feet,Latitude: 43.7315234,Longitude: -122.6396156,3 hours
Spring Lake to Devils Lake Hike,Easy,2.4 miles,295 feet,Latitude: 44.9757,Longitude: -124.0070,105 minutes
Spring Mountain Loop Hike,Easy,3.4 miles,610 feet,Latitude: 45.43730,Longitude: -122.53306,25 minutes
Spring Valley Loop Hike,Easy,3.9 miles,135 feet,Latitude: 45.0642,Longitude: -123.0684,1 hour
Springbrook-Iron Mountain Loop Hike,Easy,3.4 miles,355 feet,Latitude: 45.42285,Longitude: -122.70483,20 minutes
Square Lake Hike,Easy,4.4 miles,200 feet,Latitude: 44.42568,Longitude: -121.84988,2.5 hours
St. Cloud Loop Hike,Easy,1 miles,25 feet,Latitude: 45.6004,Longitude: -122.1117,45 minutes
St. Johns-Willamette Cove Loop Hike,Easy,4.1 miles,240 feet,Latitude: 45.5881,Longitude: -122.7618,20 minutes
Stairstep Falls Hike,Easy,1.5 miles,70 feet,Latitude: 45.46532,Longitude: -123.45990,100 minutes
Starvation Creek Waterfalls Hike,Easy,4.3 miles,145 feet,Latitude: 45.68848,Longitude: -121.69031,1 hour
Stasel Falls Hike,Easy,3.2 miles,370 feet,Latitude: 44.80552,Longitude: -122.62736,60 minutes
Steam Donkey Loop Hike,Easy,0.8 miles,140 feet,Latitude: 45.7963,Longitude: -123.4589,50 minutes
Steamboat Mountain Hike,Easy,1.6 miles,575 feet,Latitude: 46.1351,Longitude: -121.7275,130 minutes
Steigerwald National Wildlife Refuge Hike,Easy,2.8 miles,0 feet,Latitude: 45.57024,Longitude: -122.314586,30 minutes
Still Creek Hike,Easy,3.2 miles,605 feet,Latitude: 45.30357,Longitude: -121.86953,70 minutes
Strawberry Island Loop Hike,Easy,3.2 miles,150 feet,Latitude: 45.6337,Longitude: -121.9787,50 minutes
Stub Stewart Northern Loop Hike,Easy,4.1 miles,480 feet,Latitude: 45.7417,Longitude: -123.1861,45 minutes
Summerlake Park Loop Hike,Easy,1 miles,20 feet,Latitude: 45.43653,Longitude: -122.81063,25 minutes
Sumpter Valley Dredge Loop Hike,Easy,1.8 miles,35 feet,Latitude: 44.7416,Longitude: -118.2032,
Sumpter Valley Interpretive Hike,Easy,0.5 miles,100 feet,Latitude: 44.534,Longitude: -118.6109,
Sundial Beach Loop Hike,Easy,3.6 miles,40 feet,Latitude: 45.55033,Longitude: -122.38865,20 minutes
Sutton Creek Loop Hike,Easy,4.3 miles,,Latitude: 44.0677,Longitude: -124.1229,
Sweet Creek Hike,Easy,5.2 miles,650 feet,Latitude: 43.9579,Longitude: -123.9022,3 hours
Sweet creek hike,Easy,5.2 miles,650 feet,Latitude: 43.9579,Longitude: -123.9022,3 hours
Tahkenitch Creek Loop Hike,Easy,2.6 miles,,Latitude: 43.8129,Longitude: -124.1544,
Takena Landing Hike,Easy,3.4 miles,65 feet,Latitude: 44.6406,Longitude: -123.1074,75 minutes
